Date,Open,High,Low,Close
24-Jun-14,7515.2,7593.35,7515.2,7580.2
25-Jun-14,7588.55,7589.25,7557.05,7569.2
26-Jun-14,7554.1,7570.2,7481.3,7493.2
27-Jun-14,7514.2,7538.75,7482.3,7508.8
30-Jun-14,7534.05,7623.65,7531.6,7611.3
01-Jul-14,7629,7649.5,7618.15,7634.7
02-Jul-14,7683.05,7732.4,7677.3,7725.1
03-Jul-14,7734.35,7754.65,7706.8,7714.8
04-Jul-14,7718.1,7758,7661.3,7751.6
07-Jul-14,7780.4,7792,7755.1,7787.1
08-Jul-14,7804.05,7808.85,7595.9,7623.2
09-Jul-14,7637.95,7650.1,7551.65,7585
10-Jul-14,7589.5,7731.05,7479.05,7567.7
11-Jul-14,7584.1,7625.85,7447.2,7459.6
14-Jul-14,7469,7478.45,7422.15,7454.1
15-Jul-14,7491.3,7534.9,7459.15,7526.6
16-Jul-14,7564.15,7640.1,7532.45,7624.4
17-Jul-14,7612.7,7655.65,7612.7,7640.4
18-Jul-14,7630.25,7685,7595.5,7663.9
21-Jul-14,7701.65,7722.1,7674,7684.2
22-Jul-14,7708.2,7773.85,7704.8,7767.8
23-Jul-14,7794.9,7809.2,7752.9,7795.7
24-Jul-14,7796.25,7835.65,7771.65,7830.6
25-Jul-14,7828.2,7840.95,7748.6,7790.4
28-Jul-14,7792.9,7799.9,7722.65,7748.7
30-Jul-14,7746.2,7798.7,7707.6,7791.4
31-Jul-14,7784.65,7791.85,7711.15,7721.3
01-Aug-14,7662.5,7716.7,7593.9,7602.6
04-Aug-14,7639.55,7694.8,7622.05,7683.6
05-Aug-14,7706.65,7752.45,7638.05,7746.5
06-Aug-14,7726.15,7740.95,7658.95,7672
07-Aug-14,7651.15,7708.95,7630.4,7649.2
08-Aug-14,7588.7,7592.45,7540.1,7568.5
11-Aug-14,7619.85,7635.55,7598.6,7625.9
12-Aug-14,7688.8,7735.75,7654.8,7727
13-Aug-14,7717.3,7757.1,7695.7,7739.5
14-Aug-14,7756.15,7796.7,7739.1,7791.7
18-Aug-14,7785.25,7880.5,7779.2,7874.2
19-Aug-14,7901,7918.55,7881.15,7897.5
20-Aug-14,7915.8,7922.7,7864.05,7875.3
21-Aug-14,7875.35,7919.65,7855.95,7891.1
22-Aug-14,7904.55,7929.05,7900.05,7913.2
25-Aug-14,7931.75,7968.25,7897.95,7906.3
26-Aug-14,7874.5,7915.45,7862.45,7904.7
27-Aug-14,7933.9,7946.85,7916.55,7936
28-Aug-14,7942.25,7967.8,7939.2,7954.3
01-Sep-14,7990.35,8035,7984,8027.7
02-Sep-14,8038.6,8101.95,8036.55,8083
03-Sep-14,8110.85,8141.9,8092.25,8114.6
04-Sep-14,8114.2,8114.8,8060.9,8095.9
05-Sep-14,8099.9,8122.7,8049.85,8086.8
08-Sep-14,8132.95,8180.2,8126.15,8173.9
09-Sep-14,8161.9,8174.55,8126.5,8152.9
10-Sep-14,8135.55,8135.75,8082.1,8094.1
11-Sep-14,8115.15,8127.95,8057.3,8085.7
12-Sep-14,8087.05,8114.3,8071.6,8105.5
15-Sep-14,8070.35,8077.3,8030,8042
16-Sep-14,8036.6,8044.9,7925.15,7932.9
17-Sep-14,7971.5,7990.65,7936.95,7975.5
18-Sep-14,7950.65,8120.85,7939.7,8114.7
19-Sep-14,8129.4,8160.9,8105.35,8121.4
22-Sep-14,8084.45,8159.9,8064.8,8146.3
23-Sep-14,8144.4,8159.75,8008.1,8017.5
24-Sep-14,8015.55,8042.05,7950.05,8002.4
25-Sep-14,8003.3,8019.3,7877.35,7911.8
26-Sep-14,7885.85,7993.3,7841.8,7968.8
